,index,day,open,high,low,close,10,60,250
0,668,2020-11-10 10:30:00,59.0,59.16,57.51,58.38,,,
1,669,2020-11-10 11:30:00,58.38,59.08,58.32,58.84,,,
2,670,2020-11-10 14:00:00,58.85,58.85,57.67,57.71,,,
3,671,2020-11-10 15:00:00,57.7,58.28,57.7,58.11,,,
4,672,2020-11-11 10:30:00,57.96,58.47,57.1,57.12,,,
5,673,2020-11-11 11:30:00,57.12,57.81,56.8,57.36,,,
6,674,2020-11-11 14:00:00,57.35,57.44,56.81,56.88,,,
7,675,2020-11-11 15:00:00,56.88,57.0,56.69,56.7,,,
8,676,2020-11-12 10:30:00,57.36,57.76,56.92,57.05,,,
9,677,2020-11-12 11:30:00,57.06,57.29,56.89,57.16,57.53099999999999,,
10,678,2020-11-12 14:00:00,57.15,57.23,56.76,57.02,57.394999999999996,,
11,679,2020-11-12 15:00:00,57.02,57.2,56.88,57.05,57.21599999999999,,
12,680,2020-11-13 10:30:00,57.05,57.3,56.1,56.63,57.10799999999998,,
13,681,2020-11-13 11:30:00,56.63,56.8,56.25,56.71,56.96799999999998,,
14,682,2020-11-13 14:00:00,56.7,56.72,55.51,55.63,56.81899999999998,,
15,683,2020-11-13 15:00:00,55.64,56.1,55.6,55.87,56.66999999999998,,
16,684,2020-11-16 10:30:00,55.87,55.87,51.17,52.6,56.24199999999998,,
17,685,2020-11-16 11:30:00,52.6,53.18,52.23,52.33,55.804999999999986,,
18,686,2020-11-16 14:00:00,52.34,53.08,51.99,52.27,55.326999999999984,,
19,687,2020-11-16 15:00:00,52.27,52.79,52.2,52.79,54.889999999999986,,
20,688,2020-11-17 10:30:00,52.0,52.5,50.55,50.61,54.24899999999999,,
21,689,2020-11-17 11:30:00,50.65,52.47,50.4,51.85,53.729,,
22,690,2020-11-17 14:00:00,51.86,52.25,51.13,52.06,53.27199999999999,,
23,691,2020-11-17 15:00:00,52.06,53.49,52.0,53.38,52.938999999999986,,
24,692,2020-11-18 10:30:00,52.68,52.9,51.9,52.1,52.58599999999999,,
25,693,2020-11-18 11:30:00,52.1,52.28,51.7,52.07,52.205999999999996,,
26,694,2020-11-18 14:00:00,52.07,52.48,51.82,52.36,52.181999999999995,,
27,695,2020-11-18 15:00:00,52.36,52.88,52.22,52.43,52.191999999999986,,
28,696,2020-11-19 10:30:00,52.44,52.89,51.72,52.06,52.17099999999998,,
29,697,2020-11-19 11:30:00,52.06,52.38,52.03,52.15,52.106999999999985,,
30,698,2020-11-19 14:00:00,52.14,52.44,51.82,51.88,52.23399999999998,,
31,699,2020-11-19 15:00:00,51.88,52.22,51.85,52.04,52.25299999999997,,
32,700,2020-11-20 10:30:00,52.3,53.46,51.8,52.56,52.302999999999976,,
33,701,2020-11-20 11:30:00,52.57,52.83,52.41,52.48,52.21299999999998,,
34,702,2020-11-20 14:00:00,52.49,52.53,51.78,52.04,52.20699999999997,,
35,703,2020-11-20 15:00:00,52.03,52.26,51.9,52.18,52.21799999999996,,
36,704,2020-11-23 10:30:00,52.28,52.72,51.48,52.04,52.18599999999996,,
37,705,2020-11-23 11:30:00,52.04,52.05,51.04,51.23,52.06599999999996,,
38,706,2020-11-23 14:00:00,51.23,52.02,51.15,51.69,52.028999999999975,,
39,707,2020-11-23 15:00:00,51.68,51.7,51.29,51.68,51.98199999999997,,
40,708,2020-11-24 10:30:00,51.17,51.48,49.49,50.43,51.83699999999997,,
41,709,2020-11-24 11:30:00,50.43,50.98,50.4,50.79,51.71199999999997,,
42,710,2020-11-24 14:00:00,50.8,51.28,50.71,50.8,51.535999999999966,,
43,711,2020-11-24 15:00:00,50.79,51.1,50.7,50.97,51.38499999999997,,
44,712,2020-11-25 10:30:00,51.45,52.16,50.92,51.22,51.302999999999976,,
45,713,2020-11-25 11:30:00,51.22,51.36,51.0,51.17,51.20199999999998,,
46,714,2020-11-25 14:00:00,51.16,51.36,51.05,51.06,51.10399999999997,,
47,715,2020-11-25 15:00:00,51.06,51.2,50.85,51.08,51.08899999999996,,
48,716,2020-11-26 10:30:00,50.71,50.99,49.22,49.47,50.86699999999997,,
49,717,2020-11-26 11:30:00,49.47,50.22,49.38,49.93,50.691999999999965,,
50,718,2020-11-26 14:00:00,49.95,50.29,49.89,50.28,50.67699999999997,,
51,719,2020-11-26 15:00:00,50.29,50.29,50.16,50.18,50.61599999999997,,
52,720,2020-11-27 10:30:00,50.58,50.93,49.99,50.83,50.618999999999964,,
53,721,2020-11-27 11:30:00,50.88,50.9,50.46,50.49,50.570999999999955,,
54,722,2020-11-27 14:00:00,50.5,50.77,50.2,50.77,50.525999999999954,,
55,723,2020-11-27 15:00:00,50.77,52.1,50.75,52.0,50.60899999999995,,
56,724,2020-11-30 10:30:00,52.77,53.0,52.21,52.74,50.776999999999944,,
57,725,2020-11-30 11:30:00,52.71,52.79,52.18,52.41,50.909999999999954,,
58,726,2020-11-30 14:00:00,52.41,52.75,52.14,52.6,51.22299999999994,,
59,727,2020-11-30 15:00:00,52.65,52.79,51.52,51.69,51.398999999999944,53.10016666666663,
60,728,2020-12-01 10:30:00,52.0,52.28,51.5,52.09,51.57999999999995,52.9953333333333,
61,729,2020-12-01 11:30:00,52.09,52.12,51.53,51.9,51.75199999999995,52.87966666666663,
62,730,2020-12-01 14:00:00,51.88,52.8,51.86,52.57,51.92599999999995,52.79399999999997,
63,731,2020-12-01 15:00:00,52.57,52.87,52.4,52.68,52.144999999999946,52.70349999999996,
64,732,2020-12-02 10:30:00,52.63,52.63,51.25,51.39,52.20699999999995,52.60799999999996,
65,733,2020-12-02 11:30:00,51.39,51.81,51.08,51.43,52.14999999999994,52.50916666666662,
66,734,2020-12-02 14:00:00,51.43,51.76,51.22,51.4,52.01599999999994,52.41783333333329,
67,735,2020-12-02 15:00:00,51.4,51.63,51.31,51.6,51.934999999999945,52.33283333333329,
68,736,2020-12-03 10:30:00,51.4,51.96,51.18,51.3,51.804999999999936,52.23699999999996,
69,737,2020-12-03 11:30:00,51.31,51.9,51.28,51.66,51.80199999999993,52.14533333333329,
70,738,2020-12-03 14:00:00,51.66,51.78,51.2,51.28,51.720999999999925,52.04966666666663,
71,739,2020-12-03 15:00:00,51.28,51.44,51.2,51.27,51.65799999999992,51.95333333333329,
72,740,2020-12-04 10:30:00,51.29,51.6,50.71,51.12,51.51299999999992,51.86149999999996,
73,741,2020-12-04 11:30:00,51.13,51.5,51.08,51.31,51.37599999999992,51.77149999999995,
74,742,2020-12-04 14:00:00,51.31,52.46,51.28,52.04,51.44099999999992,51.711666666666616,
75,743,2020-12-04 15:00:00,52.03,52.31,52.0,52.14,51.51199999999992,51.649499999999954,
76,744,2020-12-07 10:30:00,52.28,52.85,51.8,52.42,51.61399999999992,51.64649999999995,
77,745,2020-12-07 11:30:00,52.43,52.65,52.09,52.22,51.67599999999992,51.644666666666616,
78,746,2020-12-07 14:00:00,52.23,52.88,52.15,52.78,51.82399999999992,51.65316666666662,
79,747,2020-12-07 15:00:00,52.77,52.88,52.6,52.77,51.934999999999924,51.65283333333329,
80,748,2020-12-08 10:30:00,52.94,53.0,52.22,52.61,52.06799999999993,51.68616666666662,
81,749,2020-12-08 11:30:00,52.61,52.72,52.35,52.62,52.20299999999993,51.698999999999955,
82,750,2020-12-08 14:00:00,52.62,52.8,52.34,52.68,52.358999999999924,51.709333333333284,
83,751,2020-12-08 15:00:00,52.68,52.73,52.44,52.55,52.482999999999926,51.69549999999995,
84,752,2020-12-09 10:30:00,53.0,54.84,52.99,54.04,52.68299999999992,51.72783333333329,
85,753,2020-12-09 11:30:00,54.02,54.09,53.68,53.81,52.84999999999992,51.75683333333328,
86,754,2020-12-09 14:00:00,53.82,53.92,53.07,53.23,52.930999999999926,51.77133333333328,
87,755,2020-12-09 15:00:00,53.23,53.66,53.0,53.05,53.01399999999992,51.781666666666624,
88,756,2020-12-10 10:30:00,52.39,52.6,51.35,51.75,52.91099999999992,51.776499999999956,
89,757,2020-12-10 11:30:00,51.75,51.96,51.6,51.68,52.80199999999992,51.76866666666662,
90,758,2020-12-10 14:00:00,51.69,52.13,51.66,51.68,52.70899999999991,51.76533333333328,
91,759,2020-12-10 15:00:00,51.68,52.0,51.58,51.8,52.62699999999991,51.76133333333328,
92,760,2020-12-11 10:30:00,52.0,52.06,51.02,51.03,52.46199999999991,51.73583333333329,
93,761,2020-12-11 11:30:00,51.03,51.19,50.35,50.47,52.25399999999992,51.702333333333286,
