1,平安银行,"['2020-09-07', '2020-09-08']"
2,万  科Ａ,['2020-12-03']
4,国华网安,"['2020-11-25', '2020-11-26']"
5,世纪星源,"['2020-08-04', '2020-08-05']"
6,深振业Ａ,[]
7,全新好,[]
8,神州高铁,[]
9,中国宝安,[]
10,美丽生态,"['2020-08-24', '2020-08-25']"
11,深物业A,"['2020-07-22', '2020-07-23', '2020-07-24', '2020-07-27']"
12,南  玻Ａ,['2020-11-16']
14,沙河股份,"['2020-08-19', '2020-08-20']"
16,深康佳Ａ,[]
19,深粮控股,[]
20,深华发Ａ,"['2020-08-10', '2020-08-11', '2020-08-12', '2020-08-13']"
21,深科技,[]
23,深天地Ａ,"['2020-08-10', '2020-08-11']"
25,特  力Ａ,"['2020-08-03', '2020-08-04']"
26,飞亚达,"['2020-08-26', '2020-08-27', '2020-08-28', '2020-08-31']"
27,深圳能源,[]
28,国药一致,[]
29,深深房Ａ,"['2016-09-02', '2016-09-05']"
30,富奥股份,[]
31,大悦城,"['2020-08-03', '2020-08-04']"
32,深桑达Ａ,[]
34,神州数码,"['2020-10-30', '2020-11-02']"
35,中国天楹,[]
36,华联控股,[]
37,深南电A,[]
38,深大通,[]
39,中集集团,"['2020-07-27', '2020-07-28', '2020-12-08', '2020-12-09', '2020-12-10', '2020-12-11']"
40,东旭蓝天,[]
42,中洲控股,[]
45,深纺织Ａ,[]
46,泛海控股,['2020-07-17']
48,京基智农,[]
49,德赛电池,[]
50,深天马Ａ,[]
55,方大集团,[]
56,皇庭国际,[]
58,深 赛 格,[]
59,华锦股份,"['2020-08-06', '2020-08-07', '2020-12-04', '2020-12-07']"
60,中金岭南,"['2020-12-14', '2020-12-15']"
61,农 产 品,[]
62,深圳华强,[]
63,中兴通讯,[]
65,北方国际,[]
66,中国长城,[]
68,华控赛格,"['2020-07-24', '2020-07-27']"
69,华侨城Ａ,"['2020-07-24', '2020-07-27']"
70,特发信息,[]
78,海王生物,"['2020-08-04', '2020-08-05']"
88,盐 田 港,"['2020-07-09', '2020-07-10']"
89,深圳机场,[]
90,天健集团,[]
96,广聚能源,[]
99,中信海直,[]
100,TCL科技,"['2020-12-10', '2020-12-11']"
150,宜华健康,[]
151,中成股份,[]
153,丰原药业,[]
155,川能动力,"['2020-07-17', '2020-11-27', '2020-11-30']"
156,华数传媒,"['2020-08-05', '2020-08-06', '2020-08-07', '2020-08-10']"
157,中联重科,"['2020-07-30', '2020-07-31']"
158,常山北明,[]
159,国际实业,"['2020-08-03', '2020-08-04']"
166,申万宏源,[]
301,东方盛虹,[]
333,美的集团,[]
338,潍柴动力,[]
400,许继电气,"['2020-08-07', '2020-08-10']"
401,冀东水泥,[]
402,金 融 街,"['2020-07-29', '2020-07-30']"
403,双林生物,"['2020-12-10', '2020-12-11']"
404,长虹华意,"['2020-12-10', '2020-12-11']"
407,胜利股份,"['2020-07-31', '2020-08-03', '2020-11-20', '2020-11-23']"
409,ST地矿,[]
411,英特集团,"['2020-07-28', '2020-07-29']"
413,东旭光电,[]
415,渤海租赁,[]
416,民生控股,[]
417,合肥百货,[]
419,通程控股,[]
420,吉林化纤,[]
421,南京公用,"['2020-08-03', '2020-08-04']"
422,ST宜化,"['2020-12-11', '2020-12-14']"
423,东阿阿胶,[]
425,徐工机械,[]
426,兴业矿业,[]
428,华天酒店,[]
429,粤高速Ａ,[]
430,张家界,"['2020-08-05', '2020-08-06']"
488,晨鸣纸业,"['2020-07-29', '2020-07-30', '2020-12-07', '2020-12-08']"
498,山东路桥,"['2020-08-05', '2020-08-06']"
501,鄂武商Ａ,[]
502,绿景控股,"['2020-07-31', '2020-08-03', '2020-12-28', '2020-12-29']"
503,国新健康,"['2020-07-23', '2020-07-24']"
504,ST生物,"['2020-08-21', '2020-08-24', '2020-08-25', '2020-08-26']"
505,京粮控股,['2020-08-11']
506,中润资源,"['2020-08-04', '2020-08-05']"
507,珠海港,[]
510,新金路,[]
513,丽珠集团,[]
514,渝 开 发,"['2020-08-04', '2020-08-05']"
516,国际医学,"['2020-08-03', '2020-08-04']"
517,荣安地产,"['2020-07-30', '2020-07-31']"
518,四环生物,"['2020-08-07', '2020-08-10']"
519,中兵红箭,"['2020-09-03', '2020-09-04', '2020-09-07']"
520,长航凤凰,[]
521,长虹美菱,"['2020-07-31', '2020-08-03', '2020-12-14', '2020-12-15']"
523,广州浪奇,['2020-08-11']
524,岭南控股,[]
525,红 太 阳,[]
526,紫光学大,[]
528,柳    工,"['2020-08-05', '2020-08-06']"
529,广弘控股,[]
530,冰山冷热,"['2020-08-03', '2020-08-04']"
531,穗恒运Ａ,[]
532,华金资本,[]
533,顺钠股份,"['2020-08-10', '2020-08-11', '2020-11-18']"
534,万泽股份,"['2020-09-07', '2020-09-08', '2020-09-09', '2020-09-10', '2020-12-23', '2020-12-24']"
537,广宇发展,[]
538,云南白药,[]
539,粤电力Ａ,"['2020-08-03', '2020-08-04']"
540,中天金融,"['2020-07-30', '2020-07-31']"
541,佛山照明,"['2020-12-28', '2020-12-29']"
543,皖能电力,[]
544,中原环保,[]
545,金浦钛业,"['2020-08-05', '2020-08-06', '2020-12-14', '2020-12-15']"
546,金圆股份,[]
547,航天发展,"['2020-08-07', '2020-08-10', '2020-12-30', '2020-12-31']"
548,湖南投资,[]
550,江铃汽车,[]
551,创元科技,[]
552,靖远煤电,[]
553,安道麦A,[]
554,泰山石油,"['2020-08-05', '2020-08-06']"
555,神州信息,"['2020-07-31', '2020-08-03']"
557,西部创业,[]
558,莱茵体育,[]
559,万向钱潮,"['2020-08-05', '2020-08-06', '2020-11-30', '2020-12-01']"
560,我爱我家,"['2020-08-03', '2020-08-04']"
561,烽火电子,[]
563,陕国投Ａ,"['2020-07-23', '2020-07-24']"
564,供销大集,[]
565,渝三峡Ａ,[]
566,海南海药,[]
567,海德股份,['2020-07-17']
568,泸州老窖,"['2020-09-01', '2020-09-02', '2020-09-03', '2020-09-04']"
570,苏常柴Ａ,"['2020-08-07', '2020-08-10']"
572,ST海马,"['2020-08-12', '2020-08-13', '2020-12-24', '2020-12-25']"
573,粤宏远Ａ,[]
576,甘化科工,"['2020-10-15', '2020-10-16', '2020-10-19', '2020-10-20']"
581,威孚高科,[]
582,北部湾港,"['2020-08-10', '2020-08-11', '2020-08-12', '2020-08-13']"
584,哈工智能,[]
586,汇源通信,[]
589,贵州轮胎,[]
590,启迪药业,"['2020-08-03', '2020-08-04']"
591,太阳能,"['2020-07-28', '2020-07-29']"
592,平潭发展,[]
593,大通燃气,"['2020-08-06', '2020-08-07', '2020-12-14', '2020-12-15']"
596,古井贡酒,[]
597,东北制药,"['2020-07-17', '2020-07-20']"
598,兴蓉环境,"['2020-08-04', '2020-08-05']"
599,青岛双星,[]
600,建投能源,[]
601,韶能股份,"['2020-08-06', '2020-08-07', '2020-12-09']"
603,盛达资源,['2020-07-30']
605,渤海股份,[]
606,顺利办,"['2020-08-10', '2020-08-11']"
607,华媒控股,[]
608,阳光股份,[]
609,中迪投资,[]
610,西安旅游,"['2020-08-06', '2020-08-07']"
611,ST天首,[]
612,焦作万方,['2020-12-08']
613,大东海A,[]
615,奥园美谷,"['2020-12-14', '2020-12-15']"
616,海航投资,[]
617,中油资本,[]
619,海螺型材,[]
620,新华联,"['2020-07-24', '2020-07-27']"
622,恒立实业,[]
623,吉林敖东,[]
625,长安汽车,"['2020-09-15', '2020-09-16']"
626,远大控股,"['2020-08-04', '2020-08-05']"
627,天茂集团,"['2020-07-31', '2020-08-03']"
628,高新发展,"['2020-07-17', '2020-07-20']"
629,攀钢钒钛,"['2020-07-31', '2020-08-03']"
630,铜陵有色,"['2020-07-30', '2020-07-31', '2020-12-10', '2020-12-11']"
